agent,model,resolution_status,debug_difficulty,instance_id,phases,link_to_graphectory
OpenHands,deepseek-r1-0528,resolved,<15 min fix,astropy__astropy-7336,"P_1, L_1, V_2, P_1, V_2, L_1, V_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/OpenHands/graphs/deepseek-r1-0528/astropy__astropy-7336/astropy__astropy-7336.pdf
OpenHands,deepseek-v3,resolved,<15 min fix,django__django-15467,"P_1, L_5, P_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/OpenHands/graphs/deepseek-v3/django__django-15467/django__django-15467.pdf
OpenHands,deepseek-v3,unresolved,15 min - 1 hour,django__django-14170,"P_2, L_10, P_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/OpenHands/graphs/deepseek-v3/django__django-14170/django__django-14170.pdf
OpenHands,deepseek-v3,unsubmitted,15 min - 1 hour,django__django-17084,"P_1, V_2, L_2, V_2, L_2, P_1, V_1, L_8",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/OpenHands/graphs/deepseek-v3/django__django-17084/django__django-17084.pdf
SWE-agent,deepseek-r1-0528,resolved,15 min - 1 hour,django__django-14672,"P_1, V_1, P_1, V_1, P_1, V_1, P_1, V_1, P_1, V_1, L_1, P_1, V_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/django__django-14672/django__django-14672.pdf
SWE-agent,deepseek-r1-0528,resolved,<15 min fix,django__django-15863,"P_1, L_2, P_1, V_3",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/django__django-15863/django__django-15863.pdf
SWE-agent,deepseek-r1-0528,resolved,<15 min fix,sympy__sympy-14711,"P_1, L_2, P_1, V_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/sympy__sympy-14711/sympy__sympy-14711.pdf
SWE-agent,deepseek-r1-0528,unresolved,1-4 hours,pytest-dev__pytest-6197,"P_1, V_2, L_4, P_1, V_1, L_1, P_1, V_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/pytest-dev__pytest-6197/pytest-dev__pytest-6197.pdf
SWE-agent,deepseek-r1-0528,unresolved,15 min - 1 hour,django__django-15252,"P_1, V_1, P_1, L_1, P_3, V_1, L_3, P_1, V_1, P_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/django__django-15252/django__django-15252.pdf
SWE-agent,deepseek-r1-0528,unresolved,15 min - 1 hour,mwaskom__seaborn-3187,"P_2, V_1, L_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/mwaskom__seaborn-3187/mwaskom__seaborn-3187.pdf
SWE-agent,deepseek-r1-0528,unresolved,15 min - 1 hour,pylint-dev__pylint-6386,"P_1, V_1, L_8, P_1, V_10",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/pylint-dev__pylint-6386/pylint-dev__pylint-6386.pdf
SWE-agent,deepseek-r1-0528,unresolved,15 min - 1 hour,scikit-learn__scikit-learn-25747,"P_3, L_2, V_1, P_1, V_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/scikit-learn__scikit-learn-25747/scikit-learn__scikit-learn-25747.pdf
SWE-agent,deepseek-r1-0528,unresolved,15 min - 1 hour,sympy__sympy-13798,"P_1, L_1, P_1, V_1, P_2, L_5, P_1, L_3, P_1, V_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/sympy__sympy-13798/sympy__sympy-13798.pdf
SWE-agent,deepseek-r1-0528,unresolved,15 min - 1 hour,sympy__sympy-21930,"P_1, L_9, P_1, V_1, P_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-r1-0528/sympy__sympy-21930/sympy__sympy-21930.pdf
SWE-agent,deepseek-v3,resolved,<15 min fix,astropy__astropy-7336,"P_1, V_1, L_1, P_1, V_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-v3/astropy__astropy-7336/astropy__astropy-7336.pdf
SWE-agent,deepseek-v3,resolved,<15 min fix,sphinx-doc__sphinx-8595,"P_3, L_3, P_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-v3/sphinx-doc__sphinx-8595/sphinx-doc__sphinx-8595.pdf
SWE-agent,deepseek-v3,unresolved,1-4 hours,sphinx-doc__sphinx-11510,"P_4, L_1, P_3, L_1, P_2, L_1, P_1, L_1, P_2, L_1, P_3, L_1, P_1, L_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-v3/sphinx-doc__sphinx-11510/sphinx-doc__sphinx-11510.pdf
SWE-agent,deepseek-v3,unresolved,1-4 hours,sphinx-doc__sphinx-9229,"P_4, L_1, P_6, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_2, L_1, P_1",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/deepseek-v3/sphinx-doc__sphinx-9229/sphinx-doc__sphinx-9229.pdf
SWE-agent,devstral-small,unresolved,15 min - 1 hour,django__django-12858,"P_2, L_2, P_1, L_5, V_4, P_4, V_3, P_1, V_3, P_1, L_1, P_1, V_1, L_1, P_1, V_3, P_1, V_3, P_1, V_3, P_1, V_3, P_1, V_3, P_1, V_3, P_1, V_3, P_3, V_3, P_2, V_3, P_2",https://github.com/Intelligent-CAT-Lab/Graphectory/blob/application/data/SWE-agent/graphs/devstral-small/django__django-12858/django__django-12858.pdf
